Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340803,-,-,-,42.33,-71.02,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2016,1,1,0,30,0,0,0,0,0,0,8,0,158.76,0,0.866,0.8,0.749,266.5,97.73,0,1010,0.0000,0.0000,N/A
2016,1,1,1,30,0,0,0,0,0,0,8,0,151.24,0,0.866,0.8,0.77,264.90000000000003,94.46000000000001,0,1010,0.0000,0.0000,N/A
2016,1,1,2,30,0,0,0,0,0,0,8,0,141.21,0,0.866,0.8,0.798,259.6,93.45,0,1010,0.0000,0.0000,N/A
2016,1,1,3,30,0,0,0,0,0,0,8,0,130.33,0,0.866,0.9,0.8190000000000001,261.2,93.51,0,1010,0.0000,0.0000,N/A
2016,1,1,4,30,0,0,0,0,0,0,8,0,119.25,0,0.866,0.8,0.8290000000000001,259.8,93.55,0,1010,0.0000,0.0000,N/A
2016,1,1,5,30,0,0,0,0,0,0,8,0,108.35000000000001,0,0.866,0.8,0.8310000000000001,255.5,93.37,0,1010,0.0000,0.0000,N/A
2016,1,1,6,30,0,0,0,0,0,0,8,-1,97.91,0,0.866,0.8,0.8210000000000001,254.5,92.52,0,1010,0.0000,0.0000,N/A
2016,1,1,7,30,19,0,19,15,134,19,4,-1,88.21000000000001,4,0.866,0.8,0.798,253.3,91.42,0,1010,0.0000,0.0000,N/A
2016,1,1,8,30,59,523,153,59,523,153,8,0,79.63,4,0.866,0.8,0.77,252.8,94.38,1,1010,7.2925,5.5596,N/A
2016,1,1,9,30,83,690,289,83,690,289,4,0,72.63,4,0.866,0.8,0.743,254.9,91.35000000000001,2,1010,14.4415,11.1424,N/A
2016,1,1,10,30,135,6,138,93,784,390,4,0,67.74,0,0.866,0.9,0.721,265.5,84.38,3,1010,7.2040,5.5932,N/A
2016,1,1,11,30,104,625,363,101,806,436,2,0,65.46000000000001,0,0.866,0.9,0.7020000000000001,270.5,76.92,3,1010,19.2954,15.0132,N/A
2016,1,1,12,30,174,66,201,101,795,423,4,0,66.06,4,0.866,0.9,0.6940000000000001,271.1,76.35000000000001,4,1010,10.6353,8.2706,N/A
2016,1,1,13,30,147,60,168,93,743,354,4,0,69.48,4,0.866,0.9,0.706,270.7,76.64,3,1010,8.6404,6.6953,N/A
2016,1,1,14,30,101,42,111,79,617,235,4,0,75.31,4,0.866,0.9,0.723,268.5,83.54,3,1010,5.4134,4.1579,N/A
2016,1,1,15,30,42,9,43,46,373,91,4,0,83.02,4,0.866,0.8,0.728,267.1,92.06,2,1010,0.0000,0.0000,N/A
2016,1,1,16,30,0,0,0,0,0,0,4,0,92.11,0,0.866,0.8,0.722,265.2,91.78,1,1010,0.0000,0.0000,N/A
2016,1,1,17,30,0,0,0,0,0,0,4,0,102.16,0,0.866,0.8,0.708,263.7,98,1,1010,0.0000,0.0000,N/A
2016,1,1,18,30,0,0,0,0,0,0,8,0,112.83,0,0.866,0.9,0.683,263.5,97.62,1,1010,0.0000,0.0000,N/A
2016,1,1,19,30,0,0,0,0,0,0,4,0,123.83,0,0.045,0.9,0.647,265.90000000000003,96.86,1,1010,0.0000,0.0000,N/A
2016,1,1,20,30,0,0,0,0,0,0,4,0,134.88,0,0.045,1,0.609,269,95.88,0,1010,0.0000,0.0000,N/A
2016,1,1,21,30,0,0,0,0,0,0,4,0,145.51,0,0.045,1,0.577,271.5,94.01,0,1010,0.0000,0.0000,N/A
2016,1,1,22,30,0,0,0,0,0,0,1,-1,154.78,0,0.045,1.1,0.552,271.90000000000003,89.25,0,1010,0.0000,0.0000,N/A
2016,1,1,23,30,0,0,0,0,0,0,1,-2,160.28,0,0.045,1.1,0.537,272.2,85.27,0,1010,0.0000,0.0000,N/A
2016,1,2,0,30,0,0,0,0,0,0,0,-2,158.72,0,0.045,1.1,0.535,272.7,81.55,0,1010,0.0000,0.0000,N/A
2016,1,2,1,30,0,0,0,0,0,0,1,-3,151.25,0,0.045,1.1,0.543,274.6,85.52,0,1010,0.0000,0.0000,N/A
2016,1,2,2,30,0,0,0,0,0,0,1,-3,141.24,0,0.045,1,0.547,277.6,84.29,-1,1010,0.0000,0.0000,N/A
2016,1,2,3,30,0,0,0,0,0,0,1,-3,130.36,0,0.045,1,0.544,278.2,83.03,-1,1010,0.0000,0.0000,N/A
2016,1,2,4,30,0,0,0,0,0,0,4,-3,119.29,0,0.045,1,0.536,271.40000000000003,88.46000000000001,-1,1010,0.0000,0.0000,N/A
